version,phase,cycles,prof_cycles,ctrl_cycles,insn,stalls,text,data,bss,image,fips,evidence,closure,mulqacc,calls
ver0_2,keygen_poly_gen_matrix_shake,10024,10275,251,7736,2288,4524,4192,0,8716,Alg.7 子分解 / XOF 路径,Direct,False,0,"{'xof_absorb': 18, '_xof_rsp_valid_poll': 38, 'xof_squeeze32': 137, 'xof_shake128_init': 9, '_xof_ready_poll': 45, 'xof_process': 9, 'xof_finish': 9}"
ver0_2,keygen_poly_gen_matrix_rejection,41541,41882,341,31635,9906,1256,15552,0,16808,Alg.7 子分解 / 拒绝采样,Direct,False,0,"{'xof_absorb': 18, 'poly_gen_matrix': 9, 'xof_squeeze32': 137, 'xof_finish': 9, 'xof_shake128_init': 9, 'xof_process': 9, '_poly_uniform_inner_loop': 137}"
ver0_2,keygen_poly_gen_matrix_stub_overhead,2101,2354,253,1463,638,952,9888,0,10840,校准（非 FIPS 步骤）,Calibration,False,0,"{'xof_absorb': 18, 'xof_squeeze32': 137, 'xof_shake128_init': 9, 'xof_process': 9, 'xof_finish': 9}"
ver0_2,encap_poly_reduce_x4,7572,7838,266,7428,144,332,5760,0,6092,"Alg.14 L19,L21 support",Direct,True,2048,{'poly_reduce': 4}
ver0_2,decap_poly_reduce_x5,9465,9735,270,9285,180,352,5760,0,6112,arithmetic support,Direct,True,2560,{'poly_reduce': 5}
ver0_2,encap_intt_x4,35092,35362,270,33692,1400,3912,5792,0,9704,"Alg.14 L19,L21",Direct,True,8192,{'intt': 4}
ver0_2,encap_noise_x7,14868,15181,313,13902,966,2144,6888,0,9032,Alg.14 L9–17,Direct,True,0,"{'xof_absorb': 14, 'cbd2': 7, 'xof_process': 7, 'xof_shake256_init': 7, 'xof_squeeze32': 28, '_xof_rsp_valid_poll': 14, '_xof_ready_poll': 35, 'poly_getnoise_eta_2': 4, 'xof_finish': 7, 'poly_getnoise_eta_1': 3}"
ver0_2,encap_h_ek,2200,2460,260,1609,591,640,5312,0,5952,Alg.17 L1 subexpr.,Direct,True,0,"{'_xof_ready_poll': 40, 'xof_absorb': 1, 'xof_squeeze32': 1, '_xof_rsp_valid_poll': 2, 'xof_sha3_256_init': 1, 'xof_process': 1, 'xof_finish': 1}"
ver0_2,encap_basemul_acc_x12,55672,56018,346,54716,956,3140,7360,0,10500,"Alg.14 L19,L21",Direct,True,21504,"{'basemul_acc': 8, 'basemul': 4}"
ver0_2,encap_ntt_x3,24405,24670,265,23355,1050,3576,5792,0,9368,Alg.14 L18,Direct,True,5376,{'ntt': 3}
ver0_2,encap_poly_add_x5,7005,7280,275,6755,250,328,5120,0,5448,"Alg.14 L19,L21",Direct,True,0,{'poly_add': 5}
ver0_2,decap_noise_x7,14868,15181,313,13902,966,2144,6888,0,9032,Alg.18 L8→Alg.14 L9–17,Direct,True,0,"{'xof_absorb': 14, 'cbd2': 7, 'xof_process': 7, 'xof_shake256_init': 7, 'xof_squeeze32': 28, '_xof_rsp_valid_poll': 14, '_xof_ready_poll': 35, 'poly_getnoise_eta_2': 4, 'xof_finish': 7, 'poly_getnoise_eta_1': 3}"
ver0_2,decap_basemul_acc_x15,69590,69960,370,68395,1195,3248,7360,0,10608,"Alg.15 L6 + Alg.14 L19,L21",Direct,True,26880,"{'basemul_acc': 10, 'basemul': 5}"
ver0_2,decap_ntt_x6,48810,49090,280,46710,2100,3648,5792,0,9440,Alg.15 L6 + Alg.14 L18,Direct,True,10752,{'ntt': 6}
ver0_2,decap_intt_x5,43865,44140,275,42115,1750,3936,5792,0,9728,"Alg.15 L6 + Alg.14 L19,L21",Direct,True,10240,{'intt': 5}
ver0_2,decap_pack_ciphertext,8819,9081,262,8617,202,1092,7328,0,8420,Alg.18 L8→Alg.14 L22–24,Direct,True,1024,"{'poly_compress': 1, 'pack_ciphertext': 1, 'polyvec_compress': 1, 'polyvec_compress_16': 48}"
ver0_2,decap_poly_add_x5,7005,7280,275,6755,250,328,5120,0,5448,"Alg.14 L19,L21",Direct,True,0,{'poly_add': 5}
ver0_2,decap_hash_g_reuse,336,602,266,246,90,664,4224,0,4888,Alg.18 L8 → G(m'‖h),Direct,True,0,"{'xof_absorb': 1, 'xof_squeeze32': 2, 'xof_sha3_512_init': 1, '_xof_rsp_valid_poll': 2, '_xof_ready_poll': 5, 'xof_process': 1, 'xof_finish': 1}"
ver0_2,decap_unpack_sk_pk,3748,4010,262,3562,186,660,9600,0,10260,Alg.15 L5 + Alg.14 L2–3,Direct,True,0,"{'unpack_pk': 1, 'poly_frombytes': 6, 'unpack_sk': 1}"
ver0_2,decap_poly_frommsg_reuse,1355,1611,256,1335,20,232,4704,0,4936,Alg.18 L8→Alg.14 L20,Direct,True,0,{'poly_frommsg': 1}
