version,phase,cycles,prof_cycles,ctrl_cycles,insn,stalls,text,data,bss,image,fips,evidence,closure,mulqacc,calls,prof_err_bits,ctrl_err_bits,prof_ecall,halt_warn
ver0_1,encap_intt_x4,35092,35362,270,33692,1400,3912,5792,0,9704,"Alg.14 L19,L21",Direct,True,8192,{'intt': 4},0,0,1,
ver0_1,encap_noise_x7,75971,76284,313,70609,5362,3672,6920,0,10592,Alg.14 L9–17,Direct,True,0,"{'shake_out': 28, 'sha3_init': 7, 'sha3_update': 14, 'poly_getnoise_eta_1': 3, 'keccakf': 7, 'poly_getnoise_eta_2': 4, 'cbd2': 7, 'shake_xof': 7}",0,0,1,
ver0_1,encap_h_ek,68354,68616,262,63213,5141,1708,6336,0,8044,Alg.17 L1 subexpr.,Direct,True,0,"{'sha3_final': 1, 'sha3_update': 1, 'sha3_init': 1, 'keccakf': 9}",0,0,1,
ver0_1,encap_basemul_acc_x12,55672,56018,346,54716,956,3140,7360,0,10500,"Alg.14 L19,L21",Direct,True,21504,"{'basemul_acc': 8, 'basemul': 4}",0,0,1,
ver0_1,encap_ntt_x3,24405,24670,265,23355,1050,3576,5792,0,9368,Alg.14 L18,Direct,True,5376,{'ntt': 3},0,0,1,
ver0_1,encap_poly_add_x5,7005,7280,275,6755,250,328,5120,0,5448,"Alg.14 L19,L21",Direct,True,0,{'poly_add': 5},0,0,1,
ver0_1,decap_noise_x7,75971,76284,313,70609,5362,3672,6920,0,10592,Alg.18 L8→Alg.14 L9–17,Direct,True,0,"{'shake_out': 28, 'sha3_init': 7, 'sha3_update': 14, 'poly_getnoise_eta_1': 3, 'keccakf': 7, 'poly_getnoise_eta_2': 4, 'cbd2': 7, 'shake_xof': 7}",0,0,1,
ver0_1,decap_basemul_acc_x15,69590,69960,370,68395,1195,3248,7360,0,10608,"Alg.15 L6 + Alg.14 L19,L21",Direct,True,26880,"{'basemul_acc': 10, 'basemul': 5}",0,0,1,
ver0_1,decap_ntt_x6,48810,49090,280,46710,2100,3648,5792,0,9440,Alg.15 L6 + Alg.14 L18,Direct,True,10752,{'ntt': 6},0,0,1,
ver0_1,decap_intt_x5,43865,44140,275,42115,1750,3936,5792,0,9728,"Alg.15 L6 + Alg.14 L19,L21",Direct,True,10240,{'intt': 5},0,0,1,
ver0_1,decap_pack_ciphertext,8819,9081,262,8617,202,1092,7328,0,8420,Alg.18 L8→Alg.14 L22–24,Direct,True,1024,"{'pack_ciphertext': 1, 'polyvec_compress': 1, 'poly_compress': 1, 'polyvec_compress_16': 48}",0,0,1,
ver0_1,decap_poly_add_x5,7005,7280,275,6755,250,328,5120,0,5448,"Alg.14 L19,L21",Direct,True,0,{'poly_add': 5},0,0,1,
ver0_1,decap_hash_g_reuse,6114,6376,262,5781,333,1708,5248,0,6956,Alg.18 L8 → G(m'‖h),Direct,True,0,"{'sha3_final': 1, 'sha3_update': 1, 'sha3_init': 1, 'keccakf': 1}",0,0,1,
ver0_1,decap_unpack_sk_pk,3758,4020,262,3570,188,692,9600,0,10292,Alg.15 L5 + Alg.14 L2–3,Direct,True,0,"{'unpack_pk': 1, 'unpack_sk': 1, 'poly_frombytes': 6}",0,0,1,
ver0_1,decap_poly_frommsg_reuse,1355,1611,256,1335,20,232,4704,0,4936,Alg.18 L8→Alg.14 L20,Direct,True,0,{'poly_frommsg': 1},0,0,1,
